kalshi_ticker,kalshi_strike,kalshi_question,polymarket_strike,kalshi_last_price,kalshi_dollars_invested,polymarket_last_price,polymarket_dollars_invested,kalshi_event_ticker,kalshi_market_type,kalshi_rules_primary,kalshi_floor_strike,kalshi_strike_type,polymarket_id,polymarket_question,polymarket_end_date
KXBTCD-25DEC0517-T99999.99,,,100000.0,0.06,600,0.0245,5.2789129820000005,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 99999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",99999.99,greater,735233,"Will the price of Bitcoin be greater than $100,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T97999.99,,,98000.0,0.11,1100,0.0675,452.0669834025,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 97999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",97999.99,greater,735245,"Will the price of Bitcoin be above $98,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T95999.99,,,96000.0,0.2,2000,0.156,1962.0585627239998,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 95999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",95999.99,greater,735244,"Will the price of Bitcoin be above $96,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T93999.99,,,94000.0,0.33,3300,0.3145,5959.964507635999,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 93999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",93999.99,greater,735243,"Will the price of Bitcoin be above $94,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T91999.99,,,92000.0,0.5,5000,0.5,5788.4751065,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 91999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",91999.99,greater,735242,"Will the price of Bitcoin be above $92,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T89999.99,,,90000.0,0.68,6800,0.705,19396.976377349998,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 89999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",89999.99,greater,735241,"Will the price of Bitcoin be above $90,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T87999.99,,,88000.0,0.84,8400,0.855,23569.437304845,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 87999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",87999.99,greater,735240,"Will the price of Bitcoin be above $88,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T85999.99,,,86000.0,0.94,9400,0.935,93876.75394713,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 85999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",85999.99,greater,735239,"Will the price of Bitcoin be above $86,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T83999.99,,,84000.0,0.95,9500,0.968,28417.032687736,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 83999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",83999.99,greater,735238,"Will the price of Bitcoin be above $84,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T81999.99,,,82000.0,0.99,9900,0.9745,30759.969403109004,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 81999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",81999.99,greater,735237,"Will the price of Bitcoin be above $82,000 on December 5?",2025-12-05
KXBTCD-25DEC0517-T79999.99,,,80000.0,1.0,10000,0.976,35344.927419504005,KXBTCD-25DEC0517,binary,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 79999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",79999.99,greater,735235,"Will the price of Bitcoin be above $80,000 on December 5?",2025-12-05
